,Title,PublishedDate,Views,Likes,Comments,Month
35,Just In Time (JIT) Compilers - Computerphile,2022-11-28,226946,9933,546,Nov
36,Legged Robots - Computerphile,2022-11-16,39766,1327,58,Nov
37,Encryption & Entropy - Computerphile,2022-11-09,56355,2066,86,Nov
38,Network Time Protocol (NTP) - Computerphile,2022-11-04,163857,6253,267,Nov
39,Markov Decision Processes - Computerphile,2022-10-25,129411,4051,111,Oct
40,Stable Diffusion in Code (AI Image Generation) - Computerphile,2022-10-20,257179,9051,430,Oct
41,Uses of Information Theory - Computerphile,2022-10-14,70787,2283,132,Oct
42,How AI Image Generators Work (Stable Diffusion / Dall-E) - Computerphile,2022-10-04,769144,24645,733,Oct
43,Model Driven Software Engineering - Computerphile,2022-09-21,90235,2853,243,Sep
44,Alternative Uses for Blockchain - Computerphile,2022-09-13,136890,4255,329,Sep
45,Knowledge Graphs - Computerphile,2022-09-07,85255,2783,64,Sep
46,SLAM Robot Mapping - Computerphile,2022-08-31,100020,2737,129,Aug
47,Coffee with Brian Kernighan - Computerphile,2022-08-16,181039,6223,325,Aug
48,Automated Mathematical Proofs - Computerphile,2022-08-09,82014,2563,239,Aug
49,Scratch? Python? C? Kernighan on Languages for Kids Coding - Computerphile,2022-08-02,140370,5349,586,Aug
50,Tricking AI Image Recognition - Computerphile,2022-07-27,116041,4554,402,Jul
51,Computing with Soft Robots - Computerphile,2022-07-21,50775,2103,69,Jul
52,LaMDA Logic - Computerphile,2022-07-18,72501,2701,581,Jul
53,Reverse Engineering - Computerphile,2022-07-08,174070,5983,309,Jul
54,"No, it's not Sentient - Computerphile",2022-06-17,863161,32214,3762,Jun
55,What's Virtual Memory? - Computerphile,2022-06-10,158880,4975,319,Jun
56,Why Information Theory is Important - Computerphile,2022-05-25,133008,5665,148,May
57,Breaking RSA - Computerphile,2022-05-10,318201,11907,386,May
58,How WiFi Works - Computerphile,2022-05-02,185894,6360,202,May
59,Psychic Signatures (Java Vulnerability) - Computerphile,2022-04-22,178953,6293,332,Apr
60,Square & Multiply Algorithm - Computerphile,2022-04-14,255172,9616,306,Apr
61,Automating Boston Dynamics Spot Robot - Computerphile,2022-04-06,90139,3106,208,Apr
62,High Level Languages & the IBM 360 Series - Computerphile,2022-03-31,84797,3146,184,Mar
63,Teamwork & Git - Computerphile,2022-03-25,96950,3297,257,Mar
64,Apple M1 Ultra & NUMA - Computerphile,2022-03-18,252492,9627,401,Mar
65,Mythical Man Month - Computerphile,2022-03-09,130363,5202,342,Mar
66,Internet Congestion Collapse - Computerphile,2022-03-04,90994,3327,196,Mar
67,Git Version Control _final_new_final.new - Computerphile,2022-02-25,59374,1944,119,Feb
68,Inside the Hidden Git Folder - Computerphile,2022-02-11,187645,6407,316,Feb
69,Metaverse is 30yrs old - Why Facebook is late to the party - Computerphile,2022-01-27,85341,2172,414,Jan
70,K-d Trees - Computerphile,2022-01-21,212226,6821,227,Jan
71,Man in the Middle & Needham–Schroeder Protocol - Computerphile,2022-01-07,67158,2266,155,Jan
72,Git Overview - Computerphile,2021-12-30,183756,6174,383,Dec
73,Log4J & JNDI Exploit: Why So Bad? - Computerphile,2021-12-22,483932,16032,1149,Dec
74,Iterative Closest Point (ICP) - Computerphile,2021-12-15,126902,4515,244,Dec
75,Sinclair Software & Manuals - Computerphile,2021-11-30,49551,1532,82,Nov
76,Discussing System On Chip (SoC) - Computerphile,2021-11-22,193889,6297,313,Nov
77,Depth Camera - Computerphile,2021-11-10,229381,8302,261,Nov
78,Superposition in Quantum Computers - Computerphile,2021-10-26,178440,9135,698,Oct
79,WiFi's Hidden ____ Problem - Computerphile,2021-10-19,591175,21984,991,Oct
80,Saving the Universe (Simulation) - Computerphile,2021-10-15,88396,3477,176,Oct
81,Why Did Facebook Go Down? - Computerphile,2021-10-05,882353,34683,2119,Oct
82,Sir Clive Sinclair & British Computer Revolution - Computerphile,2021-09-24,65422,2600,175,Sep
83,Bit Blit Algorithm (Amiga Blitter Chip) - Computerphile,2021-09-17,106733,3176,269,Sep
84,Random Numbers with LFSR (Linear Feedback Shift Register) - Computerphile,2021-09-10,289758,11063,498,Sep
85,Programming with Proofs - Computerphile,2021-09-03,74361,1769,205,Sep
86,Hacking Out of a Network - Computerphile,2021-08-27,225164,7795,426,Aug
87,Eliminating Run-Time Errors with Agda - Computerphile,2021-08-20,63200,1857,394,Aug
88,Dealing With Big Data - Computerphile,2021-08-13,74292,2983,178,Aug
89,(Not) Discussing the Web @ 30 Years Old - Computerphile,2021-08-06,59704,2633,171,Aug
90,The Hardest Problem in Type Theory - Computerphile,2021-07-30,124945,3688,293,Jul
91,TPM (Trusted Platform Module) - Computerphile,2021-07-23,203072,8034,1166,Jul
92,Javascript Card Trick - Computerphile,2021-07-16,64964,2879,143,Jul
93,Post Office Horizon Scandal - Computerphile,2021-07-09,98228,3284,415,Jul
94,"Who's Telling the Truth? Using ""Gobble"" - Computerphile",2021-07-02,41268,1310,158,Jul
95,Driverless Cars - Computerphile,2021-06-25,48613,2071,193,Jun
96,Types of PDF - Computerphile,2021-06-18,126678,6593,396,Jun
97,How bad is Exponential Growth? - Computerphile,2021-06-11,82533,3997,301,Jun
98,Is DeepFake Really All That? - Computerphile,2021-06-04,130750,6719,508,Jun
99,Recreating Dennis Ritchie's PhD Thesis - Computerphile,2021-05-28,174007,6613,320,May
100,3D Printing with a Robot Arm - Computerphile,2021-05-21,49105,2092,134,May
101,"Rog-O-Matic, Game Playing Program - Computerphile",2021-05-14,33970,1373,55,May
102,Kidnapped Robot Problem - Computerphile,2021-05-06,115057,4374,180,May
103,Why Files Become Bigger in Emails - Computerphile,2021-04-30,65125,2773,196,Apr
104,Building a Data Center Inside Your Laptop - Computerphile,2021-04-23,76815,2796,133,Apr
105,Cracking Enigma in 2021 - Computerphile,2021-04-12,2286773,46389,2036,Apr
106,Atomic Brain? - Computerphile,2021-04-06,82029,4543,360,Apr
107,Early Unix Computer Games - Computerphile,2021-03-30,68792,2773,225,Mar
108,Reflections on Trusting Trust - Computerphile,2021-03-23,77132,4064,360,Mar
109,How Shazam Works (Probably!) - Computerphile,2021-03-15,180442,7027,391,Mar
110,When Unix Landed - Computerphile,2021-03-08,140494,6133,309,Mar
111,Discussing node.js - Computerphile,2021-03-01,222995,9460,1091,Mar
112,Chacha Cipher - Computerphile,2021-02-19,161642,6204,289,Feb
113,Ubicomp (Ubiquitous Computing) - Computerphile,2021-02-12,33531,1054,78,Feb
114,RFC (Request For Comment) Explained - Computerphile,2021-02-05,80045,2986,159,Feb
115,How Traceroute Works (Building a Movie Scene 'Trace' Map) - Computerphile,2021-01-29,169747,7299,289,Jan
116,"""Anonymous"" Location Data Problems - Computerphile",2021-01-22,62323,2791,176,Jan
117,How NOT to Sample Audio! - Computerphile,2021-01-15,109541,6898,494,Jan
118,Prime Numbers & RSA Encryption Algorithm - Computerphile,2021-01-08,150967,4181,155,Jan
119,ALOHAnet: Grandfather of All Computer Networks - Computerphile,2020-12-30,62494,3186,142,Dec
120,How the Computer Mouse Works - Computerphile,2020-12-23,90456,3990,233,Dec
121,Brute Forcing The Countdown Numbers Game - Computerphile,2020-12-18,68208,2334,269,Dec
122,What are Digital Signatures? - Computerphile,2020-12-11,278497,8315,236,Dec
123,RWALL (Remote Write to All) - Computerphile,2020-12-04,43703,1947,130,Dec
124,Program Correctness - Computerphile,2020-11-27,60823,2199,235,Nov
125,Distance Vector Algorithm (Bellman Ford) - Computerphile,2020-11-20,82419,2686,113,Nov
126,Random Boolean Networks - Computerphile,2020-11-13,61479,2527,225,Nov
127,TLS Handshake Explained - Computerphile,2020-11-06,499747,12747,349,Nov
128,The First Internet Worm (Morris Worm) - Computerphile,2020-10-30,96006,3662,159,Oct
129,Transport Layer Security (TLS) - Computerphile,2020-10-23,432986,12177,292,Oct
130,Facebook's Code Checker - Computerphile,2020-10-13,103000,3747,233,Oct
131,Story of Mel - Computerphile,2020-10-07,50539,2194,165,Oct
132,The Knapsack Problem & Genetic Algorithms - Computerphile,2020-10-01,200231,7727,265,Oct
133,ALGOL 68 Instead of Pascal? - Computerphile,2020-09-24,50164,2256,121,Sep
134,Enhancing Video Conferencing - Computerphile,2020-09-17,38331,1399,129,Sep
135,Brain-Like (Neuromorphic) Computing - Computerphile,2020-09-10,162497,10086,641,Sep
136,1111111111111111111111111111111 & Unix Epoch - Computerphile,2020-09-01,91223,4613,363,Sep
137,Laziness in Python - Computerphile,2020-08-26,359996,12733,645,Aug
138,What NOT to do: Self Modifying Code - Computerphile,2020-08-20,179850,6585,532,Aug
139,Pascal (Not Just Nickel & Dime) - Computerphile,2020-08-14,55306,2464,198,Aug
140,Mike Pound Q&A - Computerphile,2020-08-05,126764,5013,179,Aug
141,"""Real"" Programmers & Drum Memory - Computerphile",2020-07-30,68166,2459,278,Jul
142,DNS Cache Poisoning - Computerphile,2020-07-22,277506,10886,344,Jul
143,How eBooks Work - Computerphile,2020-07-15,106985,3453,220,Jul
144,How DNS Works - Computerphile,2020-07-09,430765,13863,518,Jul
145,GPT3: An Even Bigger Language Model - Computerphile,2020-07-01,427396,12039,1441,Jul
146,Slopes of Machine Learning - Computerphile,2020-06-26,71069,1697,92,Jun
147,"Pong, Python & PyGame 11 - Computerphile",2020-06-17,36861,1117,82,Jun
148,"Pong, Python & Pygame 10 - Computerphile",2020-06-16,37540,1175,100,Jun
149,"Pong, Python & PyGame 01 - Computerphile",2020-06-11,59909,1846,118,Jun
150,"Pong, Python & Pygame 00 - Computerphile",2020-06-10,89263,2643,149,Jun
151,ALGOL 60 at 60 - Computerphile,2020-06-04,88207,3511,368,Jun
152,Tail Recursion Explained - Computerphile,2020-05-27,157039,7292,523,May
153,Modes of Operation - Computerphile,2020-05-21,202637,5983,229,May
154,The Video Conferencing Problem - Computerphile,2020-05-14,179597,4515,319,May
155,The Joys of Updating & Upgrading - Computerphile,2020-05-06,103081,4276,619,May
156,Contact Tracing Technology - Computerphile,2020-04-30,104529,3398,448,Apr
157,50 Years of Computer Science: Professor Brailsford Q&A - Computerphile,2020-04-22,91537,3314,154,Apr
158,TCP Meltdown - Computerphile,2020-04-15,215722,7013,366,Apr
159,Taming Kerberos - Computerphile,2020-04-08,307032,8873,482,Apr
160,Curried Functions - Computerphile,2020-04-01,96248,3175,296,Apr
161,VPN & Remote Working - Computerphile,2020-03-25,207276,5114,190,Mar
162,Why My Computer Wants to Forget (How Dynamic Memory Works) - Computerphile,2020-03-18,83186,2917,210,Mar
163,128 Bit or 256 Bit Encryption? - Computerphile,2020-03-13,315926,10918,564,Mar
164,Nintendo NES FamiCom Creator - Computerphile,2020-03-11,97290,4117,237,Mar
165,Coding Trees in Python - Computerphile,2020-03-04,306916,7875,490,Mar
166,RegEx Roman Numerals - Computerphile,2020-02-27,84961,2518,270,Feb
167,Feistel Cipher - Computerphile,2020-02-19,227456,9825,284,Feb
168,How Autofocus Works - Computerphile,2020-02-14,206911,6273,264,Feb
169,Python Sudoku Solver - Computerphile,2020-02-12,1172892,27489,1320,Feb
170,Multi-Dimensional Data (as used in Tensors) - Computerphile,2020-02-07,141355,5059,193,Feb
171,Functional Parsing - Computerphile,2020-02-05,125980,3961,352,Feb
172,AI Safety Gym - Computerphile,2020-01-30,118162,3991,195,Jan
173,Using Regular Expressions - Computerphile,2020-01-28,121037,3435,241,Jan
174,Hello World on Sega Megadrive - Computerphile,2020-01-23,72135,2761,220,Jan
175,Email Endianness Problems - Computerphile,2020-01-17,81703,2538,200,Jan
176,Gaming Museum - Computerphile,2020-01-15,44451,1734,134,Jan
177,Regular Expressions - Computerphile,2020-01-09,225650,7344,380,Jan
178,Millennium Bug (20yrs on) - Computerphile,2019-12-30,191134,6065,564,Dec
179,Tabs or Spaces? (Soundcheck Question) - Computerphile,2019-12-26,244453,8878,2099,Dec
180,Alderson Loop - Computerphile,2019-12-21,113094,3123,272,Dec
181,Erlang Programming Language - Computerphile,2019-12-17,236600,6917,434,Dec
182,Yoda Parsing - Computerphile,2019-12-10,105150,3093,248,Dec
183,Immutability - Computerphile,2019-12-04,95950,2819,243,Dec
184,Parsing Bottom Up - Computerphile,2019-11-27,72529,1956,96,Nov
185,AES Explained (Advanced Encryption Standard) - Computerphile,2019-11-22,1151450,23191,548,Nov
186,One Encryption Standard to Rule Them All! - Computerphile,2019-11-20,413046,12118,405,Nov
187,How Alexa Works (Probably!) - Computerphile,2019-11-15,139959,2543,212,Nov
188,Parsing Explained - Computerphile,2019-11-13,225920,6108,186,Nov
189,First Time on the Internet (Internet at 50) - Computerphile,2019-11-06,43534,1353,148,Nov
190,First Contact (Internet at 50) - Computerphile,2019-11-04,34728,1170,85,Nov
191,Digital Storytelling - Computerphile,2019-10-30,22660,724,19,Oct
192,Vectoring Words (Word Embeddings) - Computerphile,2019-10-23,241483,9616,378,Oct
193,Optic Flow Solutions - Computerphile,2019-10-18,43811,1233,42,Oct
194,Optical Flow - Computerphile,2019-10-16,96003,2414,81,Oct
195,Porting Compilers - Computerphile,2019-10-10,35144,1035,61,Oct
196,Halting Problem in Python - Computerphile,2019-10-08,163148,4251,438,Oct
197,Improving Intermediate Codes - Computerphile,2019-10-04,52811,1491,76,Oct
198,Recursion 'Super Power' (in Python) - Computerphile,2019-10-01,479494,16143,897,Oct
199,Computer Speeds - Computerphile,2019-09-27,160335,5010,210,Sep
200,VR with 3D Printed Props - Computerphile,2019-09-24,30109,953,64,Sep
201,OS Context Switching - Computerphile,2019-09-18,104783,2700,154,Sep
202,The UNCOL Problem - Computerphile,2019-09-12,78007,2630,199,Sep
203,'Accidental' CrossCompiler - Computerphile,2019-09-06,107329,3128,204,Sep
204,Favourite Shortcut Key? (Soundcheck Question) - Computerphile,2019-09-03,246014,8402,1944,Sep
205,Web 3.0 & Privacy - Computerphile,2019-08-30,88497,2830,165,Aug
206,Packet Radio (Post Apocalyptic Internet?) - Computerphile,2019-08-28,168577,5512,433,Aug
207,Raspberry Pi 4 on the Raspberry Pi 4 - Computerphile,2019-08-21,137909,3346,176,Aug
208,Almost All Web Encryption Works Like This (SP Networks) - Computerphile,2019-08-14,230025,8144,278,Aug
209,Multi Programming - Computerphile,2019-08-07,78741,3022,238,Aug
210,"Zebras, Horses & CycleGAN - Computerphile",2019-08-01,117462,3840,179,Aug
211,Before Raspberry Pi and Arduino - Computerphile,2019-07-30,139781,4793,205,Jul
212,GPT-2: Why Didn't They Release It? - Computerphile,2019-07-24,180633,6706,472,Jul
213,Self Compiling Compilers - Computerphile,2019-07-20,151784,4923,242,Jul
214,"More GPT-2, the 'writer' of Unicorn AI - Computerphile",2019-07-17,75147,2812,267,Jul
215,Data Analysis 9: Data Regression - Computerphile,2019-07-09,49217,1902,149,Jul
216,Data Analysis 8: Classifying Data - Computerphile,2019-07-09,43008,1065,37,Jul
217,Data Analysis 7: Clustering - Computerphile,2019-07-09,67569,1809,42,Jul
218,Data Analysis 6: Principal Component Analysis (PCA) - Computerphile,2019-07-09,138946,4208,119,Jul
219,Data Analysis 5: Data Reduction - Computerphile,2019-07-09,58842,1447,33,Jul
220,Data Analysis 4: Data Transformation - Computerphile,2019-07-09,80739,1803,109,Jul
221,Data Analysis 3: Cleaning Data - Computerphile,2019-07-09,90739,2135,64,Jul
222,Data Analysis 2: Data Visualisation - Computerphile,2019-07-09,122227,3110,111,Jul
223,Data Analysis 1: What is Data? - Computerphile,2019-07-09,154258,3884,158,Jul
224,Data Analysis 0: Introduction to Data Analysis - Computerphile,2019-07-09,268994,7111,183,Jul
225,Data Analysis - Computerphile,2019-07-09,172741,4871,112,Jul
226,Unicorn AI - Computerphile,2019-07-04,360473,8405,457,Jul
227,Low Spec Gaming - Computerphile,2019-07-02,157466,6689,265,Jul
228,AI Language Models & Transformers - Computerphile,2019-06-26,308413,8372,289,Jun
229,Fingerprint Recognition - Computerphile,2019-06-21,131019,3519,149,Jun
230,Bootstrapping with T-Diagrams - Computerphile,2019-06-14,159830,4604,223,Jun
231,Computing With Art - Computerphile,2019-06-07,48310,1760,158,Jun
232,Dealing with Dynamic Data - Computerphile,2019-05-31,81902,2473,94,May
233,PiDP-11 Retro Computer Build - Computerphile,2019-05-24,77926,2048,142,May
234,What is Big Data? - Computerphile,2019-05-15,204837,6509,274,May
235,"JSON, not Jason - Computerphile",2019-05-09,218464,5277,448,May
236,GUI: Under the Hood - Computerphile,2019-05-03,150957,4120,269,May
237,How Password Managers Work - Computerphile,2019-05-01,444634,13417,752,May
238,Virtual Humans (Embodied Conversational Agents) - Computerphile,2019-04-26,36441,923,155,Apr
239,Commodore 16 & The Worst Video Game? - Computerphile,2019-04-23,58494,1599,99,Apr
240,GUI Programming Introduction - Computerphile,2019-04-17,201378,5623,361,Apr
241,Commodore 116 - Computerphile,2019-04-11,49765,1286,79,Apr
242,Error Diffusion Dithering - Computerphile,2019-04-09,75386,2537,100,Apr
243,Active (Machine) Learning - Computerphile,2019-04-05,110642,3858,148,Apr
244,ZX Spectrum Prototype - Computerphile,2019-04-03,60362,2064,126,Apr
245,Ordered Dithering - Computerphile,2019-03-28,123794,4022,209,Mar
246,Will Graphene Replace Silicon? - Computerphile,2019-03-25,216757,6645,314,Mar
247,Hello (World) Abstraction! - Computerphile,2019-03-15,147596,3619,364,Mar
248,Have You Been Pwned? - Computerphile,2019-03-12,470107,14402,732,Mar
249,Floating Point Numbers (Part2: Fp Addition) - Computerphile,2019-03-05,52081,1493,68,Mar
250,Floating Point Numbers (Part1: Fp vs Fixed) - Computerphile,2019-03-01,150181,3653,256,Mar
251,Soft Robots - Computerphile,2019-02-26,132640,3262,393,Feb
252,Deep Learned Super-Sampling (DLSS) - Computerphile,2019-02-22,414123,15129,723,Feb
253,Reed Solomon Encoding - Computerphile,2019-02-20,173498,4721,147,Feb
254,Parsing - Computerphile,2019-02-16,148321,3575,193,Feb
255,Video Game & Complex Bokeh Blurs - Computerphile,2019-02-13,242342,8707,426,Feb
256,Robotic Fish - Computerphile,2019-02-09,48100,1431,96,Feb
257,Robot Snake - Computerphile,2019-02-06,110608,2900,246,Feb
258,How Secure Shell Works (SSH) - Computerphile,2019-01-31,782875,17759,386,Jan
259,What's Up With Group Messaging? - Computerphile,2019-01-29,249499,6837,336,Jan
260,Hackspace Tour - Computerphile,2019-01-23,53487,1656,96,Jan
261,Secure Copy Vulnerability (SCP) - Computerphile,2019-01-18,101221,2890,242,Jan
262,Press Play on Tape (Bandersnatch) - Computerphile,2019-01-16,71054,2114,146,Jan
263,X & the Book Code - Computerphile,2019-01-11,54840,1469,99,Jan
264,Error Correction & International Book Codes - Computerphile,2019-01-02,80437,2493,159,Jan
265,Additional Processors - Computerphile,2018-12-27,75174,2219,148,Dec
266,Separable Filters and a Bauble - Computerphile,2018-12-21,101456,3299,167,Dec
267,What's your Favourite Programming Language? (sound check Q) - Computerphile,2018-12-18,754428,19936,4483,Dec
268,Multithreading Code - Computerphile,2018-12-14,363666,11970,551,Dec
269,Apache Spark - Computerphile,2018-12-12,224985,5455,70,Dec
270,Multiple Processor Systems - Computerphile,2018-12-07,151160,4419,250,Dec
271,MapReduce - Computerphile,2018-12-04,233377,6695,62,Dec
272,BEAST & The GPU Cluster - Computerphile,2018-11-28,73122,2081,193,Nov
273,Double Ratchet Messaging Encryption - Computerphile,2018-11-23,153526,4339,229,Nov
274,Endianness Explained With an Egg - Computerphile,2018-11-21,132144,4665,283,Nov
275,How Signal Instant Messaging Protocol Works (& WhatsApp etc) - Computerphile,2018-11-16,481144,11079,388,Nov
276,What's Behind Port Smash? - Computerphile,2018-11-13,71772,2024,170,Nov
277,Infinite Data Structures: To Infinity & Beyond! - Computerphile,2018-11-06,102735,4495,476,Nov
278,How Face ID Works... Probably - Computerphile,2018-11-01,281468,7607,397,Nov
279,"eXploit X : ""Give Me Root"" - Computerphile",2018-10-30,149310,4444,423,Oct
280,"Turing, Tutte & Tunny - Computerphile",2018-10-24,204589,3616,183,Oct
281,Detecting Faces (Viola Jones Algorithm) - Computerphile,2018-10-19,358972,11495,280,Oct
282,Hardware Hacking - Computerphile,2018-10-16,159787,3869,171,Oct
283,Mini Battle Robot - Computerphile,2018-10-11,15209,407,35,Oct
284,3D Light Cube - Computerphile,2018-10-11,18767,448,41,Oct
285,AI & Logical Induction - Computerphile,2018-10-04,344303,8641,447,Oct
286,High Speed Internet in a Field - Computerphile,2018-10-02,32072,1176,103,Oct
287,"Discussion, Consumer Tech Stasis? - Computerphile",2018-09-27,30560,875,353,Sep
288,Hacked Star Map - Computerphile,2018-09-25,43504,1625,111,Sep
289,World's Biggest Drivable Hexapod Robot - Computerphile,2018-09-20,88408,2555,198,Sep
290,Musical Glove - Computerphile,2018-09-17,29367,1064,74,Sep
291,Why Build Colossus? (Bill Tutte) - Computerphile,2018-09-14,87486,2541,93,Sep
292,GSM Phone on a Conference Badge - Computerphile,2018-09-11,36687,1097,102,Sep
293,Laser Cut Music Box - Computerphile,2018-09-07,36309,1936,154,Sep
294,Exploiting the Tiltman Break - Computerphile,2018-09-05,248759,4697,199,Sep
295,Autodrive Project - Computerphile,2018-08-30,26028,744,121,Aug
296,Code Libraries - Computerphile,2018-08-23,89592,2574,190,Aug
297,Omnidirectional VR Treadmill - Computerphile,2018-08-15,287487,4131,319,Aug
298,How Software Deals with Key Presses - Computerphile,2018-08-09,71077,1999,160,Aug
299,What Happens When I Press a Key? - Computerphile,2018-08-07,239748,6140,353,Aug
300,Using CP/M - Computerphile,2018-08-03,59686,1335,149,Aug
301,Driverless Pods - Computerphile,2018-08-01,29497,806,109,Aug
302,First Microcomputer OS: CP/M - Computerphile,2018-07-27,61014,1682,182,Jul
303,Brian Kernighan Q&A 3/3 - Computerphile,2018-07-25,39883,1549,91,Jul
304,Brian Kernighan Q&A 2/3 - Computerphile,2018-07-20,51259,1864,89,Jul
305,Brian Kernighan Q&A - Computerphile,2018-07-18,76330,2539,167,Jul
306,Video Streaming Problems - Computerphile,2018-07-13,97930,2565,206,Jul
307,Inside a Crypto-Mining Operation - Computerphile,2018-07-10,58629,1977,484,Jul
308,Where GREP Came From - Computerphile,2018-07-06,911926,33139,1068,Jul
309,Atomic Auto-focus - Computerphile,2018-07-04,62661,2322,175,Jul
310,Binary to BCD (Double Dabble Algorithm) - Computerphile,2018-06-28,72386,2437,151,Jun
311,Crypto-jacking - Computerphile,2018-06-26,339763,9832,336,Jun
312,Binary Coded Decimal (BCD) & Douglas Adams' 42 - Computerphile,2018-06-21,120723,3842,259,Jun
313,Bitcoin Power Problem - Computerphile,2018-06-19,113521,3596,732,Jun
314,Bitcoin Mining in 4 Minutes - Computerphile,2018-06-15,182739,4794,624,Jun
315,Encoder Decoder Network - Computerphile,2018-06-13,131579,3610,89,Jun
316,Deep Learning - Computerphile,2018-06-06,197064,5468,191,Jun
317,Quantum Instruction Set - Computerphile,2018-06-01,202479,6356,513,Jun
318,Current State of Quantum Computing - Computerphile,2018-05-30,151248,4546,350,May
319,Save our Software - Computerphile,2018-05-24,87284,2640,237,May
320,"Hello World (Assemblers, Considered Harmful?!) - Computerphile",2018-05-22,138451,3589,305,May
321,Code vs Data (Metaprogramming) - Computerphile,2018-05-18,101806,3068,286,May
322,"Lisp, The Quantum Programmer's Choice - Computerphile",2018-05-16,199088,5999,302,May
323,AI Gridworlds - Computerphile,2018-05-10,122716,4292,216,May
324,"IBM, EBCDIC & A Meg-In-A-Box - Computerphile",2018-05-08,41500,1632,187,May
325,DEC PDP-11 & Zork - Computerphile,2018-05-04,88246,2421,324,May
326,Where did Bytes Come From? - Computerphile,2018-05-01,467569,14199,499,May
327,Atari 2600 VCS Programming - Computerphile,2018-04-27,225344,3291,258,Apr
328,"GOTO, Goto & Goto - Computerphile",2018-04-24,110447,4427,412,Apr
329,Radio Shack's TRS80 - Computerphile,2018-04-18,44741,1041,170,Apr
330,"Privacy ""Underground"" - Computerphile",2018-04-12,57031,1746,80,Apr
331,Why Bitcoin is Not Cash - Computerphile,2018-04-10,83267,2651,446,Apr
332,Atari 2600 VCS & Adventure - Computerphile,2018-04-06,43759,1245,124,Apr
333,Atomic Processing - Computerphile,2018-04-04,107233,3379,318,Apr
334,"""War Games"" IMSAI 8080 - Computerphile",2018-03-28,57479,1367,96,Mar
335,Stolen Bitcoin Tracing - Computerphile,2018-03-23,112701,3155,0,Mar
336,Social Media Data - Computerphile,2018-03-21,62513,1950,160,Mar
337,Cold Noses & Thermal Images - Computerphile,2018-03-15,32011,680,94,Mar
338,Computers in Film & TV - Computerphile,2018-03-13,46045,1374,82,Mar
339,Assembly Programming & Colour - Computerphile,2018-03-08,171716,4753,425,Mar
340,Bootstrapping EDSAC: Initial Orders - Computerphile,2018-03-06,82659,2160,134,Mar
341,Tanglewood Update - Computerphile,2018-02-28,49621,1526,66,Feb
342,EDSAC Simulator - Computerphile,2018-02-21,120825,3298,264,Feb
